id,nome,descricao,preco,preco_anterior,destaque,marca,peso,unidade,categoria,imagem,favorito,codigo,aliases,imagem_fonte,venda,ativo
"11","Torta de Maçã","Torta de maçã artesanal Pão de Liz.","32","","false","Pão de Liz","200 g","1 unidade","Produtos de prateleira","https://paodeliz.com/wp-content/uploads/2026/02/Imagem_Ficha-Torta_de_maca-1-600x900.png","false",,"[]",,"{}","true"
"12","Torta de Palmito","Torta de palmito artesanal, sem glúten e sem lactose.","28.9","","false","Pão de Liz","200 g","1 unidade","Produtos de prateleira","https://paodeliz.com/wp-content/uploads/2020/03/torta-palmito-02-600x900.jpg","false",,"[]",,"{}","true"
"13","Pão Francês com Sementes","Pão sem glúten com sementes, ideal para o café da manhã e lanches.","27.9","","false","NuttriPänni","350 g","5 unidades","Pães","assets/img/produtos/ajustes/pao-frances-com-sementes.jpg","true",,"[]",,"{}","true"
"14","Pão de Queijo com Goiabada","Pão de queijo com recheio de goiabada.","28.9","","false","Minasbread","300 g","","Pães","assets/img/produtos/ajustes/pao-de-queijo-com-goiabada.jpeg","true",,"[]",,"{}","true"
"15","Pão de Hot Dog sem Glúten","Pão para hot dog sem glúten.","24.9","","false","Bee Gluten Free","125 g","2 unidades","Pães","assets/img/produtos/ajustes/pao-de-hot-dog-sem-gluten.jpg","true",,"[]",,"{}","true"
"16","Bisnaguinha","Bisnaguinha sem glúten.","24.9","","false","Bee Gluten Free","150 g","","Pães","https://emporioquatroestrelas.vteximg.com.br/arquivos/ids/236853-1000-1000/Bisnaguinha-125g-Bee-Gluten-Free.jpg?v=639064156649400000","true",,"[]",,"{}","true"
"17","Pão de Hambúrguer","Pão de hambúrguer sem glúten.","24.9","","false","Bee Gluten Free","125 g","2 unidades","Pães","https://cdn.awsli.com.br/2500x2500/2566/2566099/produto/316659241/whatsapp-image-2025-09-04-at-13-00-54--3--n77v1lxsng.jpeg","true",,"[]",,"{}","true"
"18","Pãozinho de Cebola","Pãozinho de cebola sem glúten, sem lactose e sem proteína do leite.","23.9","","false","Belive","200 g","aprox. 9 unidades","Pães","https://belivebefree.com.br/wp-content/uploads/2025/03/pao-de-cebola-sem-gluten-sem-leite-sem-lactose-belive.webp","true",,"[]",,"{}","true"
"19","Pãozinho de Cenoura","Pãozinho de cenoura sem glúten, zero lactose e sem proteína do leite.","27.9","","false","Belive","200 g","aprox. 8 unidades","Pães","https://belivebefree.com.br/wp-content/uploads/2026/05/pao-de-cenoura-sem-gluten-sem-leite-zero-lactose-belive-1.webp","true",,"[]",,"{}","true"
"20","Pão Sírio Tipo Pita","Pão sírio tipo pita sem glúten.","24","","false","Casa Rigani","200 g","4 unidades","Pães","https://www.thfood.com.br/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/I/M/IMG_1949.jpg","true",,"[]",,"{}","true"
"21","Wrap sem Glúten","Massa para wrap sem glúten.","33.9","","false","Casa Rigani","220 g","6 unidades","Produtos de prateleira","https://images.tcdn.com.br/img/img_prod/1025031/wrap_casa_rigani_240g_sem_gluten_ovos_soja_leite_e_vegano_691_1_e950a5c368ec9a36c5917fcac2a6415a.png","false",,"[]",,"{}","true"
"22","Wrap de Tapioca Original","Wrap de tapioca sem glúten.","10.9","","false","Da Terrinha","150 g","5 unidades","Produtos de prateleira","https://www.comercialsouzaatacado.com.br/media/catalog/product/cache/1/image/800x/17f82f742ffe127f42dca9de82fb58b1/0/5/05281001901_2.jpg","false",,"[]",,"{}","true"
"23","Chips de Batata-Doce com Sal Rosa do Himalaia","Chips de batata-doce temperados com sal rosa do Himalaia.","9.9","","false","Belive","50 g","","Snacks","https://images.tcdn.com.br/img/img_prod/1061514/chips_de_batata_doce_original_40g_nazinha_10504_1_1ea5792649ecad6be8ee3b2f12f2c3fb.png","false",,"[]",,"{}","true"
"24","Chips de Mandioca com Chimi Churri","Chips de mandioca temperados com Chimi Churri.","9.99","","false","Belive","50 g","","Snacks","https://images.tcdn.com.br/img/img_prod/1221015/belive_chips_mandioca_sabor_chimichurri_s_glt_50g_1221_1_cdeb03a95a755c6dad072ce7b4ae73e2.jpg","false",,"[]",,"{}","true"
"25","Chips de Mandioca com Lemon Pepper","Chips de mandioca temperados com Lemon Pepper.","9.99","","false","Belive","50 g","","Snacks","https://belivebefree.com.br/wp-content/uploads/2021/03/chips-de-mandioca-sem-gluten-belive-temperados-com-lemon-pepper1.webp","false",,"[]",,"{}","true"
"26","Chips de Batata-Doce Sweet Chilli","Chips de batata-doce temperados com Sweet Chilli.","9.99","","false","Belive","50 g","","Snacks","https://belivebefree.com.br/wp-content/uploads/2026/05/chips-de-batata-doce-sem-gluten-belive-sabor-sweet-chilli-belive-1-600x600.webp","false",,"[]",,"{}","true"
"27","Chips de Batata-Doce com Azeite e Manjericão","Chips de batata-doce com azeite e manjericão.","9.9","","false","Roots To Go","45 g","","Snacks","http://www.rootstogo.com.br/cdn/shop/products/ChipsdeBatata-DoceAzeiteeManjericao45g1_grande.png?v=1617128452","false",,"[]",,"{}","true"
"28","Chips de Batata Roxa com Gergelim Branco","Chips de batata roxa com gergelim branco.","19.9","","false","Tâmara","30 g","","Snacks","http://acdn-us.mitiendanube.com/stores/003/171/621/products/frame-17-21-0ff7ba226ebc87aae616860732705266-640-0.webp","false",,"[]",,"{}","true"
"29","Chips de Batata-Doce","Chips de batata-doce.","19.9","","false","Tâmara","30 g","","Snacks","assets/img/produtos/ajustes/chips-de-batata-doce.png","false",,"[]",,"{}","true"
"30","Canjica de Milho com Sal Marinho","Canjica de milho crocante com sal marinho.","6.9","","false","Okoshi","40 g","","Snacks","https://images.tcdn.com.br/img/img_prod/802618/canjica_de_milho_com_sal_marinho_40g_3_1_2be38bb0d776b41e4e88c055e6bb90ea.png","false",,"[]",,"{}","true"
"31","Salgadinho de Requeijão com Milho e Quinoa","Snack de milho com sabor requeijão.","5.9","","false","Belive","25 g","","Snacks","https://belivebefree.com.br/wp-content/uploads/2020/11/salgadinho-de-requeijao-sem-gluten-sem-leite-com-vitaminas-belive-1.webp","false",,"[]",,"{}","true"
"32","Cookies Baunilha & Chocolate Zero Açúcar","Cookies de baunilha e chocolate sem adição de açúcar.","9.9","","false","Belive","67 g","","Snacks","https://consultaprodutos.com.br/assets/produtos/7898380412291.webp","false",,"[]",,"{}","true"
"33","Wafer Cappuccino","Wafer proteico sabor cappuccino.","8.9","","false","Latamprotein","25 g","1 unidade","Snacks","https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/lojalatamfit/media/uploads/produtos/foto/phbufoyu/lp-barra-wafer-cappuccino.png","false",,"[]",,"{}","true"
"34","Wafer Creme de Avelã","Wafer proteico sabor creme de avelã.","8.9","","false","Latamprotein","25 g","1 unidade","Snacks","https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/lojalatamfit/media/uploads/produtos/foto/agpxlhlx/lp-wafer-avela-1.png","false",,"[]",,"{}","true"
"35","Bacio di Latte Pistacchio","Produto proteico sabor pistache.","15.9","","false","Nutrata","","1 unidade","Snacks","https://images.tcdn.com.br/img/img_prod/1305881/nutrata_bacio_di_latte_40g_display_com_12_barras_1_20260715115114_6f17cb0d75d8.jpg","false",,"[]",,"{}","true"
"36","Bacio di Latte Caramello Salgado","Produto proteico sabor caramelo salgado.","13.9","","false","Nutrata","","1 unidade","Snacks","https://images.tcdn.com.br/img/img_prod/1305881/nutrata_bacio_di_latte_45gr_display_c12_barras_s_1_20251110120010_47ab6aaae759.png","false",,"[]",,"{}","true"
"37","Havanna Legítimo Dulce de Leche","Produto proteico sabor dulce de leche.","14","","false","Nutrata","","1 unidade","Snacks","https://www.drogasil.com.br/_next/image?url=https%3A%2F%2Fproduct-data.raiadrogasil.io%2Fimages%2F17309860.webp&w=828&q=75","false",,"[]",,"{}","true"
"38","Havanna Brownie de Chocolate e Dulce de Leche","Produto proteico sabor brownie de chocolate e dulce de leche.","19.9","","false","Nutrata","","1 unidade","Snacks","https://http2.mlstatic.com/D_NQ_NP_2X_888036-MLB113388099136_072026-F-nutrata-havanna-browniedoce-de-leite-11g-proteina-40g-12un.webp","false",,"[]",,"{}","true"
"39","Protein Crisp Ovomaltine","Barra proteica sabor Ovomaltine.","12.9","","false","Integralmédica","45 g","1 unidade","Barras proteicas","https://cdn.shopify.com/s/files/1/0742/9632/8446/files/protein-crisp-bar-ovomaltine-unidade-8773590.png?v=1778532129","false",,"[]",,"{}","true"
"40","Protein Max Chocolate & Nibs","Barra proteica com chocolate e nibs.","19","","false","Austrália","","1 unidade","Barras proteicas","https://storetheme.vtexassets.com/unsafe/800x800/center/middle/https%3A%2F%2Fsantaluzia.vtexassets.com%2Farquivos%2Fids%2F1005943%2F3030490.png%3Fv%3D639066075750130000","false",,"[]",,"{}","true"
"41","Choco Wheyfer Chocolate com Avelã","Wheyfer proteico sabor chocolate com avelã.","9.9","","false","+Mu","25 g","1 unidade","Snacks","https://acdn-us.mitiendanube.com/stores/005/697/238/products/01-claim_proteina-yk11jp4dw2-76b8f8a4e4e4f80ab817455294026936-1024-1024.webp","false",,"[]",,"{}","true"
"42","Choco Wheyfer Cookies'n Cream","Wheyfer proteico sabor cookies'n cream.","9.9","","false","+Mu","25 g","1 unidade","Snacks","https://acdn-us.mitiendanube.com/stores/005/697/238/products/01-claim_proteina-1-68u52zgtrr-c2865b714263b24b6a17455293640168-1024-1024.webp","false",,"[]",,"{}","true"
"43","100% Whey Cookies","Whey protein monodose sabor cookies.","12","","false","Topway","35 g","1 sachê","Produtos de prateleira","http://dcdn-us.mitiendanube.com/stores/007/563/993/products/whey100-monodose-35g-hcgw-81c9833718f5459a7817857891589366-640-0.webp","false",,"[]",,"{}","true"
"44","100% Whey Coco com Baunilha","Whey protein monodose sabor coco com baunilha.","12","","false","Topway","35 g","1 sachê","Produtos de prateleira","https://static.wixstatic.com/media/068dc8_2dbcc966b92b4d64b564fe244b1cd0f1~mv2.jpg/v1/fit/w_500%2Ch_500%2Cq_90/file.jpg","false",,"[]",,"{}","true"
"45","100% Whey Torta de Limão","Whey protein monodose sabor torta de limão.","12","","false","Topway","35 g","1 sachê","Produtos de prateleira","https://images.tcdn.com.br/img/img_prod/1316500/sache_whey_protein_topway_100_35g_torta_de_limao_3385_1_a63b8ab390cc5e142aefcaf38200055d.png","false",,"[]",,"{}","true"
"46","100% Whey Banoffee","Whey protein monodose sabor banoffee.","12","","false","Topway","35 g","1 sachê","Produtos de prateleira","https://cdn.awsli.com.br/800x800/2404/2404599/produto/365674617/747854-1-x2iftwu1u4.webp","false",,"[]",,"{}","true"
"47","100% Whey Chocolate com Avelã","Whey protein monodose sabor chocolate com avelã.","12","","false","Topway","35 g","1 sachê","Produtos de prateleira","https://io.convertiez.com.br/m/drogalider/shop/products/images/40719/large/whey-topway-100-chocolate-com-avela-sache-35g_32574.png","false",,"[]",,"{}","true"
"48","Paçoquinha Zero Adição de Açúcares","Paçoquinha sem adição de açúcares.","5","","false","Airon","17 g","1 unidade","Snacks","https://img.irroba.com.br/fit-in/600x600/filters:format(webp):fill(fff):quality(80)/aironcom/catalog/pacoca-individual-quadrada-1000x1000px.jpg","false",,"[]",,"{}","true"
"49","Cocada com Abacaxi","Cocada sabor abacaxi.","4.9","","false","Latam Fit","","1 unidade","Snacks","https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/lojalatamfit/media/uploads/produtos/foto/ubzekved/pk-banana-com-choco.png","false",,"[]",,"{}","true"
"50","Nuts & Fruits Cranberry","Mix de nuts e frutas com cranberry.","5","","false","Latam Fit","25 g","1 unidade","Snacks","https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/lojalatamfit/media/uploads/produtos/foto/ubzekved/pk-banana-com-choco.png","false",,"[]",,"{}","true"
"51","Goiabinha Cremosa Zero","Goiabinha cremosa sem adição de açúcar.","3.9","","false","Latam Fit","22 g","1 unidade","Snacks","https://cdn.shoppub.io/cdn-cgi/image/w=1000,h=1000,q=80,f=auto/lojalatamfit/media/uploads/produtos/foto/yelnegzp/9d740dce-afba-447b-9f00-7381bf853525.png","false",,"[]",,"{}","true"
"52","Protein Pão de Mel","Produto proteico sabor pão de mel.","11","","false","Topway","45 g","1 unidade","Barras proteicas","https://dcdn-us.mitiendanube.com/stores/007/563/993/products/protein-pao-de-mel-unidade-scuw-2216d0e2a95cc71f6e17857890828152-1024-1024.webp","false",,"[]",,"{}","true"
"53","Best Whey Cookies & Cream","Produto proteico sabor cookies & cream.","14.9","","false","Atlhetica Nutrition","49 g","1 unidade","Barras proteicas","https://www.drogarianovaesperanca.com.br/imagens-complete/1000x1000/barra-best-whey-cookies-cream-com-12g-e8990d5a26.jpg","false",,"[]",,"{}","true"
"54","Water Timber's Zero Pistache","Bebida zero sabor pistache.","6.9","","false","Lacielle","324 g","12 unidades","Bebidas","https://http2.mlstatic.com/D_NQ_NP_2X_719089-MLA99803362037_112025-F.webp","false",,"[]",,"{}","true"
"55","Mel Flores Silvestres","Mel de flores silvestres em sachês.","6.9","","false","Apiário Santo Antonio","35 g","10 sachês","Mel e Própolis","https://images.tcdn.com.br/img/img_prod/584955/mel_de_flores_silvestres_em_sache_35g_211_1_9539578ead450413390f3e056f622845.jpg","false",,"[]",,"{}","true"
"56","Mel & Alho","Mel combinado com alho.","19.9","","false","Apiário Santo Antonio","160 g","1 pote","Mel e Própolis","assets/img/produtos/ajustes/mel-alho.jpg","false",,"[]",,"{}","true"
"57","Verdprópolis — Extrato de Própolis Verde","Extrato de própolis verde.","48.9","","false","Fauna & Flora","30 ml","1 frasco","Mel e Própolis","https://www.faunaeflora.com.br/cdn/shop/files/propolis-alecrim-do-campo-15.webp?v=1778179531&width=713","false",,"[]",,"{}","true"
"58","Redprópolis — Extrato de Própolis Vermelho","Extrato de própolis vermelho.","55.9","","false","Fauna & Flora","30 ml","1 frasco","Mel e Própolis","https://www.faunaeflora.com.br/cdn/shop/files/red-propolis-rabo-de-bugio-15.webp?v=1778181017&width=713","false",,"[]",,"{}","true"
"59","Extrato de Própolis Glicólico","Extrato de própolis verde sem álcool.","43.9","","false","Apiário Santo Antonio","30 ml","1 frasco","Mel e Própolis","https://images.tcdn.com.br/img/img_prod/584955/extrato_de_propolis_verde_em_solucao_glicolica_30ml_299_1_0887eac5ce13c4133457288099fab20e.jpg","false",,"[]",,"{}","true"
"60","Spray de Mel com Própolis, Romã e Gengibre","Spray à base de mel com extratos de própolis, romã e gengibre.","16.9","","false","Apiário Santo Antonio","","1 frasco","Mel e Própolis","https://images.tcdn.com.br/img/img_prod/584955/spray_composto_de_mel_com_extrato_de_propolis_extrato_fluido_de_roma_e_gengibre_em_frasco_pet_ambar__429_1_f57e529ebf4b87b3d147139aaebc41d3.jpg","false",,"[]",,"{}","true"
"61","Óleo de Linhaça","Suplemento de óleo de linhaça com ômega 3-6-9.","60.9","","false","Chamed","1000 mg","100 cápsulas","Produtos de prateleira","https://http2.mlstatic.com/D_NQ_NP_2X_647596-MLB46783522215_072021-F-oleo-de-linhaca-1000-mg-100-capsulas--chamed.webp","false",,"[]",,"{}","true"
"62","Chlorella","Suplemento alimentar de chlorella em cápsulas.","54.9","","false","Chamed","500 mg","100 cápsulas","Produtos de prateleira","https://product-data.raiadrogasil.io/images/16785923.webp","false",,"[]",,"{}","true"
"63","Tâmara com Colágeno","Tâmara com chocolate meio amargo, proteína e colágeno Verisol.","13.9","","false","Nature Foodtech","","12 unidades","Snacks","https://http2.mlstatic.com/D_NQ_NP_2X_629389-MLA107404073562_032026-F-barrinhas-de-tamara-com-colageno-verisol-12-un-nature-food.webp","false",,"[]",,"{}","true"
"64","Mulungu","Suplemento de mulungu em cápsulas.","29.99","","false","Fitogreen","500 mg","60 cápsulas","Produtos de prateleira","https://images.tcdn.com.br/img/img_prod/971897/mulungu_em_cpsula_500mg_60caps_ninho_verde_1_20260303153558_b71506d145d1.jpg","false",,"[]",,"{}","true"
"65","Gummy Original AIR Zero","Gummy sabor tutti-frutti para cabelo, pele e unhas.","151.9","","false","Gummy Original","","60 unidades","Produtos de prateleira","https://http2.mlstatic.com/D_NQ_NP_2X_664270-MLA99936158267_112025-F.webp","false",,"[]",,"{}","true"
"66","Gummy Original AIR Maçã Verde","Gummy sabor maçã verde para cabelo, pele e unhas.","149.9","","false","Gummy Original","","60 unidades","Produtos de prateleira","https://http2.mlstatic.com/D_NQ_NP_2X_631962-MLB113559279475_062026-F.webp","false",,"[]",,"{}","true"
"67","Gummy Original Apple Vinegar","Gummy de vinagre de maçã sabor cereja.","110","","false","Gummy Original","","60 unidades","Produtos de prateleira","https://http2.mlstatic.com/D_NQ_NP_2X_652370-MLA96872765725_102025-F.webp","false",,"[]",,"{}","true"
"68","Gummy Original Hair One","Gummy para cabelo sabor cereja.","91","","false","Gummy Original","","60 unidades","Produtos de prateleira","https://http2.mlstatic.com/D_NQ_NP_2X_646990-MLA112779977842_062026-F.webp","false",,"[]",,"{}","true"
"69","Gengibre Cristalizado","Gengibre natural cristalizado.","15","","false","","200 g","1 embalagem","Snacks","https://casaperris.com/cdn/shop/files/2381_jengibre_cristal.jpg?v=1726484828","false",,"[]",,"{}","true"
"70","Amora","Suplemento de amora em cápsulas.","129.9","","false","","600 mg","100 cápsulas","Produtos de prateleira","https://images.tcdn.com.br/img/img_prod/745295/amora_600mg_100_capsulas_chamel_1257_1_df52613776be9d4dfe132de2eb67f26b.jpg","false",,"[]",,"{}","true"
"71","Bananinha sem Adição de Açúcar","Doce de banana sem adição de açúcar.","5.5","","false","Paraibuna","","1 unidade","Snacks","https://http2.mlstatic.com/D_NQ_NP_2X_829390-MLB110126899205_042026-F-bananinha-paraibuna-sem-acucar-vegana-460g-zero-natural.webp","false",,"[]",,"{}","true"
"72","Doce de Banana sem Adição de Açúcares","Doce de banana sem adição de açúcares.","5.9","","false","Tachão de Ubatuba","","1 unidade","Snacks","https://http2.mlstatic.com/D_NQ_NP_2X_965500-MLB93211948099_092025-F-doce-banana-zero-adicao-acucar-bananinha-cremosa-21-unidades.webp","false",,"[]",,"{}","true"
"73","Bananinha Coberta com Chocolate","Bananinha coberta com chocolate.","5.9","","false","Tachão de Ubatuba","","1 unidade","Chocolate","https://www.tachao.com.br/cdn/shop/files/tachaoubatuba_bananinhachocolate_200g_mockup.png?v=1725044431&width=600","false",,"[]",,"{}","true"
"74","Bananinha com Canela","Bananinha com canela.","4.5","","false","Tachão de Ubatuba","","1 unidade","Snacks","https://www.tachao.com.br/cdn/shop/files/tachaoubatuba_bananinhacanela_200g_mockup.png?v=1725044431&width=600","false",,"[]",,"{}","true"
"75","Doce de Banana com Açúcar e Canela","Doce de banana com açúcar e canela.","4.5","","false","Tachão de Ubatuba","","1 unidade","Snacks","https://www.tachao.com.br/cdn/shop/files/tachaoubatuba_bananinhacanela_200g_mockup.png?v=1725044431&width=600","false",,"[]",,"{}","true"
"76","Bisco Light Coco Branco com Pistache","Bisco Light Coco Branco com Pistache","37.9","","false","","150 g","1 unidade","Snacks","assets/img/produtos/ajustes/bisco-light-coco-branco-com-pistache.jpg","false","","[]",,"{}","true"
"77","Bisco Light Churros","Bisco Light Churros","37.9","","false","","150 g","1 unidade","Snacks","assets/img/produtos/ajustes/bisco-light-churros.jpg","false","","[]",,"{}","true"
"79","Stroopwafel Wafel Holandês","Stroopwafel Wafel Holandês","22.9","","false","","230 g","1 unidade","Snacks","https://http2.mlstatic.com/D_NQ_NP_2X_987597-MLB109355188421_032026-F-moinho-wafers-stroopwafel-biscoito-wafel-holandes-28g.webp","false","","[]",,"{}","true"
"80","Muma Biscoito de Arroz Chocolate Zero","Muma Biscoito de Arroz Chocolate Zero","17.9","","false","","60 g","1 unidade","Snacks","https://mumasnacks.com.br/cdn/shop/files/Muma_Frente_Arroz_Chocolate_Zero_1.png?v=1780503468&width=1200","false","","[]",,"{}","true"
"81","Muma Biscoito de Milho Mediterrâneo","Muma Biscoito de Milho Mediterrâneo","14.9","","false","","65 g","1 unidade","Snacks","https://mumasnacks.com.br/cdn/shop/files/Muma_Frente_Milho_Mediterraneo_sombra_5.png?v=1767952070&width=1200","false","","[]",,"{}","true"
"82","Muma Biscoito de Milho Ervas Finas e Azeite","Muma Biscoito de Milho Ervas Finas e Azeite","14.9","","false","","65 g","1 unidade","Snacks","https://mumasnacks.com.br/cdn/shop/files/Muma_Frente_Milho_Ervas_Finas_sombra_3.png?v=1767952234&width=1200","false","","[]",,"{}","true"
"83","Repeat Snack Alga Marinha Original","Repeat Snack Alga Marinha Original","9.9","","false","","5 g","1 unidade","Snacks","https://http2.mlstatic.com/D_NQ_NP_2X_919182-MLB104793039106_012026-F-snack-de-alga-marinha-original-5g-repeat.webp","false","","[]",,"{}","true"
"84","Biscoito Sembei","Biscoito Sembei","9.9","","false","","100 g","1 unidade","Snacks","assets/img/produtos/ajustes/biscoito-sembei.jpg","false","160","[]",,"{}","true"
"85","Biscoito Beliscão","Biscoito Beliscão","8.5","","false","","100 g","1 unidade","Snacks","https://produtosbitota.com.br/images/products/beliscao.png","false","187","[]",,"{}","true"
"86","Biscoito Banana e Canela","Biscoito Banana e Canela","11","","false","","100 g","1 unidade","Snacks","https://www.focoalternativo.com.br/uploads/media/Default/0001/14/4cebd98f1ed3d2ef8d6c11a34505b46028c6ec24.jpeg","false","137","[]",,"{}","true"
"87","Biscoito de Maracujá Vegano","Biscoito de Maracujá Vegano","12.9","","false","","100 g","1 unidade","Snacks","https://cdn.awsli.com.br/2500x2500/472/472611/produto/28544222/mockup-maracuj--xa4q8m92hx.png","false","653","[]",,"{}","true"
"88","Biscoito de Castanha de Pecã","Biscoito de Castanha de Pecã","16.9","","false","","100 g","1 unidade","Snacks","https://www.emporioquatroestrelas.com.br/media/catalog/product/b/i/biscoito_castanha_peca_100g.jpg","false","3084","[]",,"{}","true"
"89","Biscoito com Gotas de Chocolate 52%","Biscoito com Gotas de Chocolate 52%","17","","false","","100 g","1 unidade","Snacks","https://www.emporioquatroestrelas.com.br/media/catalog/product/b/i/biscoito_low_carb_gotas_chocolate_100g.jpg","false","3039","[]",,"{}","true"
"90","Biscoito Parmesão com Páprica e Cúrcuma","Biscoito Parmesão com Páprica e Cúrcuma","17","","false","","100 g","1 unidade","Snacks","https://www.emporioquatroestrelas.com.br/media/catalog/product/b/i/biscoito_low_carb_parmesao_paprica_curcuma_100g.jpg","false","84","[]",,"{}","true"
"91","Polvilho com Provolone","Polvilho com Provolone","11.9","","false","","100 g","1 unidade","Snacks","https://cdn.awsli.com.br/800x800/472/472611/produto/polvilho-provolone-100g.jpg","false","","[]",,"{}","true"
"92","Polvilho com Chia","Polvilho com Chia","11.9","","false","","100 g","1 unidade","Snacks","https://www.terracerealista.com.br/biscoitos-e-cookies/biscoito-de-polvilho-chia","false","","[]",,"{}","true"
"93","Polvilho com Cebola","Polvilho com Cebola","11.9","","false","","100 g","1 unidade","Snacks","https://www.martinsatacado.com.br/produto/biscoito-polvilho-cebola-100g-bombiscoito-bombiscoito_77","false","","[]",,"{}","true"
"94","Biscoito Polvilho Perfeito Pimenta e Limão","Biscoito Polvilho Perfeito Pimenta e Limão","18.9","","false","","80 g","1 unidade","Snacks","https://www.santaluzia.com.br/biscoito-de-polvilho-pimenta-e-limao-chef-di-serio--80g-3251489/p","false","","[]",,"{}","true"
"95","Provolone com Goiabada","Provolone com Goiabada","18","","false","","100 g","1 unidade","Snacks","https://emporiocristal.com.br/nossos-produtos/petiscos/provolone-com-goiabada-100g/","false","","[]",,"{}","true"
"96","Snack de Queijo Coalho","Snack de Queijo Coalho","18.99","","false","","100 g","1 unidade","Snacks","https://armazemgraosdocampo.com.br/produtos/snack-de-queijo-coalho-100g/","false","","[]",,"{}","true"
"97","Banana Chips Doce","Banana Chips Doce","8.59","","false","","100 g","1 unidade","Snacks","https://commons.wikimedia.org/wiki/Special:Redirect/file/Banana_chips.JPG","false","","[]",,"{}","true"
"98","Amendoim Japonês","Amendoim Japonês","3.5","","false","","100 g","1 unidade","Snacks","https://loja.santoantonioalimento.com/media/catalog/product/a/m/amendoim-japones-100g.jpg","false","","[]",,"{}","true"
"99","Amendoim Olhinho","Amendoim Olhinho","4.9","","false","","100 g","1 unidade","Snacks","https://www.bancadoramon.com.br/media/catalog/product/a/m/amendoim-olhinho-100g.jpg","false","","[]",,"{}","true"
"100","Mix Crocante","Mix Crocante","15.9","","false","","100 g","1 unidade","Snacks","https://cdn.awsli.com.br/800x800/472/472611/produto/mix-crocante.jpg","false","","[]",,"{}","true"
"101","Mix de Frutas Tropicais","Mix de Frutas Tropicais","21.9","","false","","100 g","1 unidade","Snacks","https://commons.wikimedia.org/wiki/Special:Redirect/file/Dried_fruits.jpg","false","80","[]",,"{}","true"
